16:14:30.261 INFO  manager.ListenerWD - before find element: By.cssSelector: .contact-item_card__2SOIM
16:14:30.316 INFO  manager.ListenerWD - element found success: By.cssSelector: .contact-item_card__2SOIM
16:14:30.317 INFO  manager.ListenerWD - start method click on:[[ChromeDriver: chrome on WINDOWS (ef45e9ca273f474d093ba107b3b363c1)] -> css selector: .contact-item_card__2SOIM]
16:14:30.372 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (ef45e9ca273f474d093ba107b3b363c1)] -> css selector: .contact-item_card__2SOIM]
16:14:30.373 INFO  manager.ListenerWD - before find element: By.xpath: //button[text()='Remove']
16:14:30.407 INFO  manager.ListenerWD - element found success: By.xpath: //button[text()='Remove']
16:14:30.407 INFO  manager.ListenerWD - start method click on:[[ChromeDriver: chrome on WINDOWS (ef45e9ca273f474d093ba107b3b363c1)] -> xpath: //button[text()='Remove']]
16:14:30.457 INFO  manager.ListenerWD - done method click on: [[ChromeDriver: chrome on WINDOWS (ef45e9ca273f474d093ba107b3b363c1)] -> xpath: //button[text()='Remove']]
16:14:31.466 INFO  manager.ListenerWD - before find element: By.cssSelector: .contact-item_card__2SOIM
16:14:31.510 INFO  manager.ListenerWD - element found success: By.cssSelector: .contact-item_card__2SOIM
16:14:31.512 INFO  manager.HelperBase - Number of Contacts after remove is --->2
